StaffID	CourseTitle	Place	StartDate	EndDate	CertNumber
VAE00058	"INI-BASIC FAA REGULATIONS (CFR14 PART 145, 43)"	Vietnam	29-Jan-11	29-Jan-11	45/CTKT-TTĐT
VAE00058	TRAIN THE TRAINER	Vietnam	30-May-11	1-Jun-11	No.040833
VAE00059	HUMAN FACTORS IN MAINTENANCE - ADVANCE (EQUIVALENT TO MODULE 9 OF PART 66)	Vietnam	3-Dec-14	5-Dec-14	6866
VAE00059	Ini - Aviation Sercurity P1 (Management)	Vietnam	3-Nov-14	7-Nov-14	No Number
VAE00059	AVIATION LEGISLATION - ADVANCE (EQUIVALENT TO MODULE 10)	Vietnam	1-Dec-14	3-Dec-14	6853
VAE00059	Easa Part 145 - Maintenance Organization - Advanced	Vietnam	25-Nov-14	27-Nov-14	6929
VAE00059	A/C T.R B777 (GE) - B2	USA	18-Feb-03	4-Apr-03	No number
VAE00059	HUMAN FACTORS INSTRUCTOR	Singapore	27-Aug-06	2-Sep-06	No number
VAE00059	AIR LAW - JAR/EASA	Vietnam	11-Jan-99	13-Jan-99	No number
VAE00059	SMS	Vietnam	26-Aug-08	29-Aug-08	No number
VAE00059	MAINTENANCE HUMAN FACTORS INSTRUCTOR	Singapore	27-Aug-06	2-Sep-06	No Number
VAE00059	AIR LAW - JAR/EASA	Holland	12-Nov-99	19-Nov-99	No number
VAE00059	A/C T.R A320 (CFM56) - A (EM31)	Vietnam	9-Aug-99	15-Sep-99	A76313-14
VAE00059	AIR LAW - FAR	Vietnam	14-Jul-10	15-Jul-10	Training Attendance Record
VAE00059	ENG T.R PW (B777) - III	USA	7-Apr-03	9-Apr-03	No number
VAE00059	Basic Training Electrical Engingeer	Vietnam	1-Jan-96	16-Jan-98	49942
VAE00060	AIR LAW - FAR	Vietnam	14-Jun-10	18-Jun-10	TPE 201016
VAE00060	Easa Part 145 - Maintenance Organization - Advanced	Vietnam	25-Nov-14	27-Nov-14	6830
VAE00060	AVIATION LEGISLATION - ADVANCE (EQUIVALENT TO MODULE 10)	Vietnam	1-Dec-14	3-Dec-14	6854
VAE00060	EWIS basic training course - Initial	Vietnam	19-Jan-15	21-Jan-15	waiting for Cer.
VAE00060	Fuel tank safety CDCCL - Initial	Vietnam	23-Jan-15	23-Jan-15	waiting for Cer.
VAE00060	Human Factors In Maintenance - Advanced	Vietnam	29-Dec-14	31-Dec-14	waiting for Cer.
VAE00060	A/C T.R B777 (GE) - B2	USA	22-Sep-02	5-Dec-02	No number
VAE00060	TRAIN THE TRAINER	Vietnam	17-Aug-09	19-Aug-09	029054
VAE00060	SMS	Vietnam	26-Aug-08	29-Aug-08	No number
VAE00060	AIRWORTHINESS INSPECTOR	Vietnam	21-Apr-03	23-Apr-03	No number
VAE00060	ENG T.R PW (B777) - III	USA	22-Sep-02	5-Dec-02	No number
VAE00060	Human Factor-20	Vietnam	23-May-08	25-May-08	BF2009-List HF
VAE00060	AIR LAW - FAR	Vietnam	14-Jul-10	15-Jul-10	Training Attendance Record
VAE00060	Basic Training Electrical Engingeer	Vietnam	1-Feb-98	1-Jun-99	B71329
VAE00061	Train the trainer	Vietnam	26-Aug-13	30-Aug-13	0809/13-iEIT
VAE00061	AVIATION LEGISLATION - ADVANCE (EQUIVALENT TO MODULE 10)	Vietnam	1-Dec-14	3-Dec-14	6855
VAE00061	EWIS basic training course - Initial	Vietnam	29-Jan-15	2-Feb-15	waiting for Cer.
VAE00061	Fuel tank safety CDCCL - Initial	Vietnam	30-Dec-14	30-Dec-14	waiting for Cer.
VAE00061	Easa Part 145 - Maintenance Organization - Advanced	Vietnam	25-Nov-14	27-Nov-14	6831
VAE00061	Human Factors In Maintenance - Advanced	Vietnam	14-Jan-15	16-Jan-15	waiting for Cer.
VAE00061	AIR LAW - VAR	Vietnam	23-Jun-09	23-Jun-09	409/CTKT-TTĐT
VAE00061	A/C T.R A330 (PW4000) - B2	France	15-Nov-06	20-Dec-06	TLS002836
VAE00061	AIR LAW - FAR	Vietnam	21-Sep-09	25-Sep-09	TPE200910
VAE00061	A/C T.R A320/321 (CFM56/V2500) - B1 + B2	Vietnam	20-Feb-06	7-Apr-06	A76452-07
VAE00061	Human Factor-20	Vietnam	23-May-08	25-May-08	BF2009-List HF
VAE00061	Basic Training Electrical Engingeer	Vietnam	1-Feb-04	31-Aug-05	C0633735
VAE00061	SMS	Vietnam	20-May-09	22-May-09	SMS/0907-5
VAE00064	VNA A330 ETOPS - CONTINUOUS TRAINING - (ONLINE)	Vietnam	6-Sep-12	10-Sep-12	695/CTKT-TTĐT
VAE00064	ini - Aviation Sercurity P2	Vietnam	12-Dec-11	13-Dec-11	AS2/00064
VAE00064	A330-PW4000 TO RR TRENT 700 DIFFERENCES (FOR THAI AIRWAYS)	Vietnam	15-Jul-13	18-Jul-13	No number
VAE00064	A350 Initial Operation Experience (IOE) - (On A/C)	Vietnam	3-Jul-15	7-Jul-15	455/CTKT-TTĐT
VAE00064	ETOPS A330	Vietnam	13-Dec-10	14-Dec-10	777/CTKT-TTĐT
VAE00064	AVIATION REGULATIONS (VAR 66&VAR 145)	Vietnam	28-Jan-11	28-Jan-11	36/CTKT-TTĐT
VAE00064	Line Maintenance APU (A321)	Vietnam	22-Feb-11	22-Feb-11	No number
VAE00064	Ini - Jetstar Asia Line Maintenance training	Vietnam	3-Nov-11	4-Nov-11	852/CTKT-TTĐT
VAE00064	SAFETY MANAGEMENT SYSTEM	Vietnam	23-Jun-11	23-Jun-11	382/CTKT-TTĐT
VAE00064	C-Class Seats Maint - B/E Aerospace (A321)	Vietnam	27-Jun-11	30-Jun-11	493/CTKT-TTĐT
VAE00064	Y-Class Seats Maint - B/E Aerospace (A321)	Vietnam	27-Jun-11	30-Jun-11	493/CTKT-TTĐT
VAE00064	A350 Initial Operation Experience (IOE) - (Class Room)	Vietnam	29-Jun-15	29-Jun-15	455/CTKT-TTĐT
VAE00064	A350 Technical Data EIS - Phase 2 (Practical Part)	Vietnam	10-Jul-15	10-Jul-15	627/CTKT-TTĐT
VAE00064	A350 Initial Operation Training For Line Maintenance	Vietnam	15-Jul-15	16-Jul-15	495/CTKT-TTĐT
VAE00064	A321 V2500/A5 Thrust Reverser Rigging Familiarization	Vietnam	27-Jul-15	27-Jul-15	waiting for Cer.
VAE00064	"Honeywell Systems On A350 (ATA 21,30,36)"	Vietnam	24-Aug-15	24-Aug-15	No Number
VAE00064	EWIS basic training course - Initial	Vietnam	18-Dec-14	20-Dec-14	waiting for Cer.
VAE00064	A350 SRM Familiarization for Damage Assessment	Vietnam	19-Jan-15	22-Jan-15	EUR15-C000845
VAE00064	"Honeywell System On A350 (ATA 21, 27, 49)"	Vietnam	10-Sep-15	10-Sep-15	No Number
VAE00064	"Honeywell's System on A350 (ATA 21, 22, 34) - Cabin Pressure, Supplemental Cooling System, Avionics - FM and AESS"	Vietnam	6-Aug-15	6-Aug-15	
VAE00064	VNA A330 ETOPS - CONTINUOUS TRAINING	Vietnam	3-Sep-13	7-Sep-13	608/CTKT-TTĐT
VAE00064	Airbus Maintenance Instructor	France	12-Oct-14	25-Oct-14	EUR14-C016502
VAE00064	A350 Engine Run-up	France	26-Oct-14	1-Nov-14	EUR14-C016622
VAE00064	Fuel tank safety CDCCL - Initial	Vietnam	24-Nov-14	24-Nov-14	6842
VAE00064	Aviation Legislation - Advanced	Vietnam	4-Jun-15	6-Jun-15	waiting for Cer.
VAE00064	Human Factors In Maintenance - Advanced	Vietnam	27-May-15	29-May-15	waiting for Cer.
VAE00064	A350 Technical Data EIS - PHASE1	Vietnam	23-Jun-15	24-Jun-15	No Number
VAE00064	 EASA PART 145 - Maintenance Organization - Advanced	Vietnam	2-Feb-15	4-Feb-15	waiting for Cer.
VAE00064	Basic Training Mechanical Engingeer	Vietnam	1-Feb-98	18-Jun-99	B71297
VAE00064	ENG MAINTENANCE V2500 (A321)	Germany	18-Oct-04	28-Oct-04	74482
VAE00064	TRAIN THE TRAINER FOR CFM56 ENGINE RUN UP INSTRUCTOR	Germany	23-Oct-06	27-Oct-06	115190
VAE00064	A/C T.R A330 (PW4000) - B1	Germany	7-May-07	27-Jun-07	132713
VAE00064	STANDARD PRACTICES FOR MECHANIC INSTRUCTOR	Singapore	7-Apr-08	18-Apr-08	S/08/016
VAE00064	HUMAN FACTOR	Singapore	8-Oct-08	9-Oct-08	022038
VAE00064	THEORY AND TEACHING METHODOLOGY	Vietnam	7-Jun-04	17-Sep-04	0204PP-KSP
VAE00064	ENG BSI V2500 (A321)	Germany	25-Nov-02	27-Nov-02	34031
VAE00064	ENG RUN UP CFM56&V2500	France	8-May-06	20-May-06	124587
VAE00064	A/C T.R A320/321 (V2500) - B1	France	18-Mar-04	4-May-04	000924
VAE00064	ENG RUN UP PW4000 (A330)	Vietnam	22-Sep-09	27-Sep-09	A330-TT-ER/0901-2
VAE00064	MAINTENANCE INSTRUCTOR ON A320/321	France	1-Aug-04	15-Nov-05	No number
VAE00064	FUEL SAVING (VNA)	Vietnam	21-May-09	21-May-09	325/CTKT-TTDT
VAE00064	ENG MAINTENANCE CFM56 (A320)	France	6-Sep-00	20-Sep-00	No number
VAE00064	A/C T.R A320 (CFM56) - B1 + B2	Vietnam	29-May-00	14-Jul-00	A76451-02
VAE00064	ENG RUN UP V2500 (A321)	France	5-May-04	10-May-04	106057
VAE00064	ENG MONITORING V2500 (A321)	Germany	28-Nov-02	29-Nov-02	34231
VAE00070	POWERPLANT CURRICULUM - FAR147	USA	2-Jan-07	2-Jan-09	No number
VAE00070	Basic Training Mechanical Engingeer (Fifth Course)	Vietnam	1-Feb-03	1-Feb-04	1066/HVPKKQ
VAE00070	SMS	Vietnam	20-May-09	22-May-09	SMS/0907-4
VAE00070	AIR LAW - FAR	Vietnam	14-Jul-10	15-Jul-10	Training Attendance Record
VAE00070	LINE & BASE  ELECTRIC / MECHANICS & AVIONICS SYSTEMS ON ATR 42-400/500/72-212 A (PWC PW 120)	Thailand	23-May-10	24-Jun-10	10-07/90
VAE00070	ENGLISH BASIC (ELS)	Vietnam	15-May-06	15-Dec-06	No number
VAE00070	AIRFRAME CURRICULUM - FAR147	USA	2-Jan-07	2-Jan-09	No number
VAE00070	AIR LAW - VAR	Vietnam	23-Jun-09	23-Jun-09	409/CTKT-TTĐT
VAE00070	HUMAN FACTOR	Vietnam	15-Jun-09	17-Jun-09	376/CTKT-TTĐT
VAE00070	Fuel tank safety CDCCL - Initial	Vietnam	19-Dec-14	19-Dec-14	waiting for Cer.
VAE00070	Human Factors In Maintenance - Advanced	Vietnam	19-Jan-15	21-Jan-15	waiting for Cer.
VAE00070	Easa Part 145 - Maintenance Organization - Advanced	Vietnam	25-Nov-14	27-Nov-14	6832
VAE00070	Train the trainer	Vietnam	26-Aug-13	30-Aug-13	0509/13-iEIT
VAE00070	AVIATION LEGISLATION - ADVANCE (EQUIVALENT TO MODULE 10)	Vietnam	1-Dec-14	3-Dec-14	6856
VAE00070	EWIS basic training course - Initial	Vietnam	14-Jan-15	16-Jan-15	waiting for Cer.
VAE00071	TYPE TRAINING - A320/321 (CFM56/V2500) CAT B1 THEORETICAL PART	Vietnam	27-May-13	8-Jul-13	A320/321-B1/1301/C-01
VAE00071	Fuel tank safety CDCCL - Initial	Vietnam	24-Nov-14	24-Nov-14	6839
VAE00071	HUMAN FACTOR	Vietnam	24-Jun-09	26-Jun-09	362/CTKT-TTĐT
VAE00071	VNA A330 ETOPS - CONTINUOUS TRAINING	Vietnam	3-Sep-13	7-Sep-13	608/CTKT-TTĐT
VAE00071	M11A - System Part theo EASA Part 66 - Cat A	Vietnam	4-Feb-13	8-Feb-13	No Number
VAE00071	Aviation Legislation - Advanced	Vietnam	24-Dec-14	26-Dec-14	waiting for Cer.
VAE00071	EWIS basic training course - Initial	Vietnam	14-Jan-15	16-Jan-15	waiting for Cer.
VAE00071	Human Factors In Maintenance - Advanced	Vietnam	19-Jan-15	21-Jan-15	waiting for Cer.
VAE00071	 EASA PART 145 - Maintenance Organization - Advanced	Vietnam	29-Dec-14	31-Dec-14	waiting for Cer.
VAE00071	EASA Part 66 - A1 Basic Course - M8 - Basic Aerodynamics	Vietnam	15-Oct-12	19-Oct-12	No Number
VAE00071	Ini - Safety Management System	Vietnam	14-Sep-11	14-Sep-11	718/CTKT-TTĐT
VAE00071	Ini - Aviation Sercurity P2	Vietnam	3-Oct-11	4-Oct-11	AS2/00071
VAE00071	A330 Structure Damage Assessment	Vietnam	27-Jun-12	27-Jun-12	511/CTKT-TTĐT
VAE00071	VNA A330 ETOPS - CONTINUOUS TRAINING - (ONLINE)	Vietnam	6-Sep-12	10-Sep-12	695/CTKT-TTĐT
VAE00071	ENGINE BORESCOPE UTILIZATION TRAINING (NON-APPROVED COURSE)	Vietnam	1-Feb-13	1-Feb-13	109/CTKT-TTĐT
VAE00071	TRAIN THE TRAINER - FOLLOW UP	Vietnam	23-Jul-12	3-Aug-12	No Number
VAE00071	AIR LAW - VAR	Vietnam	23-Jun-09	23-Jun-09	409/CTKT-TTĐT
VAE00071	A/C T.R A330 (PW4000) - B1	Germany	15-Sep-08	3-Nov-08	165618
VAE00071	Airworthiness Training Course	Singapore	13-Aug-07	17-Aug-07	No number
VAE00071	AIR LAW - FAR	Vietnam	21-Sep-09	25-Sep-09	TPE200911
VAE00071	FUEL SAVING (VNA)	Vietnam	22-May-09	22-May-09	325/CTKT-TTDT
VAE00071	Basic Training Mechanical Engingeer	Russia	1-Apr-01	1-Jul-06	12332
VAE00071	Engine Run-Up PW4000 (A330)	China	2-Dec-10	6-Dec-10	No.233408 + 233416
VAE00071	ETOPS A330	Vietnam	20-Dec-10	21-Dec-10	776/CTKT-TTĐT
VAE00071	Human Factor-21	Vietnam	28-May-08	30-May-08	BF2009-List HF
VAE00076	Engine Run Up V2500 (A321)	Vietnam	24-Sep-14	26-Sep-14	630/CTKT-TTĐT
VAE00076	VNA A330 ETOPS - CONTINUOUS TRAINING	Vietnam	3-Sep-13	7-Sep-13	608/CTKT-TTĐT
VAE00076	Electrical Wiring Interconnection Systems	Vietnam	4-Aug-14	7-Aug-14	BLR-14-C000771
VAE00076	Cập nhật dữ liệu khai thác EFB Class 2 A350	Vietnam	3-Jun-15	3-Jun-15	
VAE00076	"Honeywell Systems On A350 (ATA 21,30,36)"	Vietnam	24-Aug-15	24-Aug-15	No Number
VAE00076	A350 Technical Data EIS - Phase 2 (Practical Part)	Vietnam	10-Jul-15	10-Jul-15	627/CTKT-TTĐT
VAE00076	A350 Initial Operation Experience (IOE) - (On A/C)	Vietnam	3-Jul-15	7-Jul-15	455/CTKT-TTĐT
VAE00076	Line & Base Maintenance/Troubleshooting RR (A350)	England	18-Apr-15	30-Apr-15	UK.147.0010 15-75
VAE00076	A321 (V2500) ENGINE RUN-UP TASK TRAINING	Vietnam	6-Jan-15	8-Jan-15	23/CTKT-TTĐT
VAE00076	A350 Initial Operation Experience (IOE) - (Class Room)	Vietnam	29-Jun-15	29-Jun-15	455/CTKT-TTĐT
VAE00076	CAT II / CAT III - A350	Việt Nam	17-Jul-15	17-Jul-15	EUR15-C008765
VAE00076	A350 Technical Data EIS - PHASE1	Vietnam	25-Jun-15	26-Jun-15	No Number
VAE00076	ETOPS A330	Vietnam	13-Dec-10	14-Dec-10	764/CTKT-TTĐT
VAE00076	A/C T.R A320 (CFM56) - A (EM31)	Vietnam	6-Oct-03	21-Nov-03	A76316/12
VAE00076	AIR LAW - FAR	Vietnam	27-Jul-10	27-Jul-10	516/CTKT-TTĐT
VAE00076	MAINTENANCE INSTRUCTOR ON A320/321	France	1-Aug-04	15-Nov-05	No number
VAE00076	Ini - safety management system	Vietnam	28-Mar-11	30-Mar-11	164/CTKT-TTĐT
VAE00076	ENG RUN UP PW4000 (A330)	Vietnam	22-Sep-09	27-Sep-09	A330-TT-ER/0901-3
VAE00076	ELECTRICAL PRACTICE SKILLS	Germany	3-Sep-07	7-Sep-07	135371
VAE00076	HUMAN FACTOR	Singapore	14-May-07	18-May-07	B/07/055
VAE00076	A/C T.R A330 (PW4000) - B2	France	15-Nov-06	20-Dec-06	TLS002827
VAE00076	AIR LAW - VAR	Vietnam	23-Jun-09	23-Jun-09	409/CTKT-TTĐT
VAE00076	ENG RUN UP PW4000 (A330)	Germany	2-Jan-08	11-Jan-08	140710
VAE00076	VNA A330 ETOPS - CONTINUOUS TRAINING - (ONLINE)	Vietnam	6-Sep-12	10-Sep-12	695/CTKT-TTĐT
VAE00076	Ini - Aviation Sercurity P2	Vietnam	24-Oct-11	25-Oct-11	AS2/00076
VAE00086	INI - CCAR145	China	20-May-12	26-May-12	No number
VAE00086	EWIS (ELECTRICAL WIRING INTERCONNECTION SYSTEMS) ADVANCED	Vietnam	14-Sep-15	18-Sep-15	
VAE00086	Enterprise Management	Vietnam	3-Aug-09	7-Aug-09	069/CN
VAE00086	AVIATION LEGISLATION - ADVANCE (EQUIVALENT TO MODULE 10)	Vietnam	1-Dec-14	3-Dec-14	6857
VAE00086	Easa Part 145 - Maintenance Organization - Advanced	Vietnam	25-Nov-14	27-Nov-14	6833
VAE00086	A/C T.R A320/321 (V2500) - B2	Germany	6-Nov-10	7-Dec-10	HAM 004226; HAM 004342
VAE00086	MAINTENANCE HUMAN FACTORS INSTRUCTOR	Singapore	27-Aug-06	2-Sep-06	No Number
VAE00086	SMS	Vietnam	4-May-09	5-May-09	SMS/0906/S-3
VAE00086	AIR LAW - FAR	Vietnam	21-Sep-09	25-Sep-09	TPE200907
VAE00086	ATR 72 - 212 A MAINTENANCE ELECTRICS & AVIONICS COURSE	Thailand	2-Jul-01	10-Aug-01	2410
VAE00086	HUMAN FACTORS INSTRUCTOR	Singapore	27-Aug-06	2-Sep-06	No number
VAE00086	A/C T.R B777 (GE) - B2	USA	18-Feb-03	4-Apr-03	No number
VAE00086	ENG T.R PW (B777) - III	USA	7-Apr-03	9-Apr-03	No number
VAE00086	Eng T.R CFM56 (A320/321) -III ( Inc. in B2 Supplement Course )	Vietnam	9-May-11	25-May-11	337/CTKT-TTĐT
VAE00086	A/C T.R F70 (TAY) - B2	Holland	19-Aug-96	4-Oct-96	No number
VAE00086	Basic Training Electrical Engineer ( Waiver)	Vietnam	22-Oct-10	22-Oct-10	Waiver Form
VAE00086	Ini - Aviation Sercurity P2	Vietnam	29-Sep-11	30-Sep-11	AS2/00086
VAE00086	Type Training A320/321 Supplemental B2 Theoretical part	Vietnam	9-May-11	25-May-11	337/CTKT-TTĐT
VAE00086	ETOPS B777 (QĐ GV B777)	Vietnam	1-Aug-07	1-Aug-07	See Cert.
VAE00086	INI - VAR145 & VAR66 Training	Vietnam	29-Dec-08	29-Dec-08	Ref to Rec Course
VAE00086	A320/321 T2 PRACTICAL TRAINING	Vietnam	17-Jan-11	22-Jan-11	HAM 004342
VAE00087	Ini - Aviation Sercurity P2	Vietnam	12-Sep-11	13-Sep-11	AS2/00087
VAE00087	EWIS (ELECTRICAL WIRING INTERCONNECTION SYSTEMS) BASIC TRAINING COURSE – INITIAL	Vietnam	3-Aug-15	5-Aug-15	EASA-EWIS-BAS-I/1506/S/A-02
VAE00087	Fuel tank safety CDCCL - Initial	Vietnam	24-Nov-14	24-Nov-14	6841
VAE00087	GE90 - LPT S6 Blade Libration Inspection Training	Vietnam	20-Oct-14	20-Oct-14	No Number
VAE00087	A321(V2500) Engine Run-up	Vietnam	14-May-14	16-May-14	296/CTKT-TTĐT
VAE00087	Basic Training Mechanical Engineer	Russia	1-Jan-80	1-Jan-86	029044
VAE00087	ENG RUN UP GE (B777)	Vietnam	14-Jan-05	15-Jan-05	021/CN-05
VAE00087	ENG BSI V2500 (A321)	England	19-Jun-10	3-Jul-10	10-504;10-509
VAE00087	SMS	Vietnam	4-May-09	5-May-09	SMS/0906/S-4
VAE00087	ETOPS B777	Vietnam	10-Dec-07	11-Dec-07	5/CN-08
VAE00087	INSTRUCTOR TRAINING	Vietnam	16-May-94	20-May-94	No number
VAE00087	A/C T.R A320 (CFM56) - B1 + B2	France	27-Dec-93	15-Jul-94	No number
VAE00087	AIR LAW - FAR	Vietnam	21-Sep-09	25-Sep-09	TPE200908
VAE00087	ENG BSI PW (B777)	USA	1-Sep-05	2-Sep-05	No number
VAE00087	A/C T.R B777 (GE) - B1	USA	10-Jul-02	28-Aug-02	No number
VAE00087	AIRCRAFT FUEL TANK SAFETY LEVEL 2 FOR PART M & PART 145	Vietnam	11-Mar-09	12-Mar-09	RBATT/09/262
VAE00087	Enterprise Management	Vietnam	11-May-09	15-May-09	002/CN
VAE00087	ENG MAINTENANCE CFM56 (A320)	France	20-Jul-09	24-Jul-09	0930-283
VAE00087	A/C T.R A320/321 (CFM56/V2500) - B1/B2 + diff	Vietnam	31-Dec-08	31-Dec-08	N/A
VAE00087	HUMAN FACTOR	Singapore	14-May-07	18-May-07	B/07/054
VAE00087	INI - VAR145 & VAR66 Training	Vietnam	29-Dec-08	29-Dec-08	Ref to Rec Course
VAE00087	ENG MAINTENANCE PW (B777)	USA	22-Aug-05	31-Aug-05	No number
VAE00087	ENG RUN UP CFM6 (A320)	France	27-Dec-93	15-Jul-94	No number
VAE00087	ENG T.R PW (B777) - III	USA	10-Jul-02	28-Aug-02	No number
VAE00088	Ini - Aviation Sercurity P2	Vietnam	25-Oct-11	26-Oct-11	AS2/00088
VAE00088	CAAV AIRWORTHINESS	Vietnam	7-Dec-11	9-Dec-11	Ref. Decision
VAE00088	SAFETY MANAGEMENT SYSTEM	Vietnam	3-Aug-11	3-Aug-11	592/CTKT-TTĐT
VAE00088	ETOPS A330	Vietnam	4-Mar-11	5-Mar-11	117/CTKT-TTĐT
VAE00088	A/C T.R B777 (GE) - B1	USA	10-Jul-02	28-Aug-02	No number
VAE00088	ENG MAINTENANCE PW (B777)	Korean	1-Aug-03	14-Aug-03	SELIT2003F322
VAE00088	TRAIN THE TRAINER	Germany + China	13-Sep-04	19-Nov-04	No number
VAE00088	ENG RUN UP PW (B777)	China	28-Oct-05	1-Nov-05	No number
VAE00088	HUMAN FACTORS INSTRUCTOR	Singapore	27-Aug-06	2-Sep-06	No number
VAE00088	ETOPS B777	Vietnam	23-May-07	24-May-07	104/CN-07
VAE00088	ENG RUN UP GE (B777)	Vietnam	14-Jan-05	15-Jan-05	028/CN-05
VAE00088	A/C T.R A330 (PW4000) - B1 + B2	France	9-May-10	10-Jul-10	TLS 006195
VAE00088	ENG T.R PW (B777) - III	USA	10-Jul-02	28-Aug-02	No number
VAE00088	AIR LAW - FAR 145	Vietnam	17-Aug-10	17-Aug-10	590/CTKT-TTĐT
VAE00088	MAINTENANCE HUMAN FACTORS INSTRUCTOR	Singapore	27-Aug-06	2-Sep-06	No Number
VAE00088	INI - VAR145 & VAR66 Training	Vietnam	29-Dec-08	29-Dec-08	Ref to Rec Course
VAE00088	Aircraft type rating A320/A321 (CFM56/V2500) - B1	Vietnam	1-Mar-11	21-Apr-11	A320/321-B1/1101/S/C/17
VAE00088	Basic Training Mechanical Engingeer	Ukraina	1-Jan-90	1-Jan-96	001908
VAE00088	EWIS (ELECTRICAL WIRING INTERCONNECTION SYSTEMS) BASIC TRAINING COURSE – INITIAL	Vietnam	10-Aug-15	12-Aug-15	EASA-EWIS-BAS-I/1507/S/A-08
VAE00088	Fuel tank safety CDCCL - Initial	Vietnam	24-Nov-14	24-Nov-14	6840
VAE00089	INI - ETOPS A330	Vietnam	20-Mar-14	21-Mar-14	176/CTKT-TTĐT
VAE00089	TRAIN THE TRAINER - FOLLOW UP	Vietnam	6-Aug-12	17-Aug-12	No Number
VAE00089	Easa Part 145 - Maintenance Organization - Advanced	Vietnam	25-Nov-14	27-Nov-14	6834
VAE00089	ATR42-400/500/72-212A (PW120) EASA Part 66 CAT B1/B2 Type Training – Practical	Vietnam	29-Oct-15	11-Nov-15	
VAE00089	ATR42-600/72-600 Differences – Theory	Vietnam	22-Oct-15	28-Oct-15	
